Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.158309 | segment id: 75 | term: "Aloha Stadium" | text: "I'm from the Department of Taxation."
score: 0.158276 | segment id: 30 | term: "Post-Secondary Education Commission" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.158234 | segment id: 0 | term: "Cancer Center" | text: "Good afternoon."
score: 0.158234 | segment id: 12 | term: "Cancer Center" | text: "Good afternoon."
score: 0.158194 | segment id: 40 | term: "Center on Nursing Advisory Board" | text: "Okay, if not, members, are there any questions?"
score: 0.158162 | segment id: 16 | term: "Western Interstate Commission for Higher Education" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.158130 | segment id: 104 | term: "304a" | text: "Senator Fevella is excused."
score: 0.158029 | segment id: 60 | term: "Red Hill" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.158005 | segment id: 20 | term: "Early Learning Board" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.157997 | segment id: 67 | term: "Post-Secondary Education Commission" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.157985 | segment id: 96 | term: "Scholarship" | text: "Any discussion or questions?"
score: 0.157835 | segment id: 68 | term: "Early Learning Board" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.157764 | segment id: 27 | term: "State Departments" | text: "Okay, I just have a question for HHFDC."
score: 0.157640 | segment id: 97 | term: "Aloha Stadium" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.157619 | segment id: 62 | term: "Red Hill" | text: "Our first testifier is Department of Taxation with comments."
score: 0.157564 | segment id: 73 | term: "Candidate Advisory Council" | text: "Can you please identify yourself?"
score: 0.157498 | segment id: 110 | term: "Scholarship" | text: "Members, any discussion?"
score: 0.157459 | segment id: 37 | term: "487n" | text: "We stand by testimony in support."
score: 0.157294 | segment id: 44 | term: "Tuition" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.157193 | segment id: 5 | term: "Western Interstate Commission for Higher Education" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.157155 | segment id: 21 | term: "John A. Burns School of Medicine" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.157111 | segment id: 70 | term: "487n" | text: "If not, members, any questions?"
score: 0.157105 | segment id: 3 | term: "Career and Technical Education" | text: "meeting is being streamed live on youtube in the unlikely event that we have to abruptly end this hearing due to technical difficulties committee will reconvene to discuss any outstanding business on "
score: 0.157084 | segment id: 23 | term: "487n" | text: "Thank you very much."
score: 0.157084 | segment id: 59 | term: "487n" | text: "Thank you very much."
score: 0.157084 | segment id: 128 | term: "487n" | text: "Thank you very much."
score: 0.156946 | segment id: 60 | term: "Early Learning Board" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.156930 | segment id: 108 | term: "College" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.156845 | segment id: 116 | term: "Education Commission of the States" | text: "Any members voting no?"
score: 0.156845 | segment id: 126 | term: "Education Commission of the States" | text: "Any members voting no?"
score: 0.156718 | segment id: 109 | term: "community college" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.156708 | segment id: 5 | term: "302a-431" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.156639 | segment id: 41 | term: "College" | text: "Okay, Chair has a question for HHFDC."
score: 0.156571 | segment id: 35 | term: "west oahu" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.156515 | segment id: 110 | term: "College" | text: "Members, any discussion?"
score: 0.156430 | segment id: 78 | term: "Hawaiʻi Commission on National and Community Service" | text: "That would be a policy question."
score: 0.156418 | segment id: 92 | term: "west oahu" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.156328 | segment id: 93 | term: "487n" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.156305 | segment id: 6 | term: "Aloha Stadium" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.156282 | segment id: 102 | term: "Scholarship" | text: "Senator Aquino."
score: 0.156243 | segment id: 38 | term: "Red Hill" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.156198 | segment id: 28 | term: "Hawaiʻi Teacher Standards Board" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.156104 | segment id: 70 | term: "Education Commission of the States" | text: "If not, members, any questions?"
score: 0.156044 | segment id: 34 | term: "302a-431" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.155947 | segment id: 33 | term: "university" | text: "Okay, thank you very much."
score: 0.155848 | segment id: 71 | term: "Western Interstate Commission for Higher Education" | text: "Okay, the chair just has a question for DOTAX."
score: 0.155800 | segment id: 41 | term: "304a" | text: "Okay, Chair has a question for HHFDC."
score: 0.155797 | segment id: 96 | term: "Research Corporation of the University of Hawaiʻi" | text: "Any discussion or questions?"
score: 0.155763 | segment id: 55 | term: "Underground Storage Tanks" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.155759 | segment id: 11 | term: "John A. Burns School of Medicine" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.155686 | segment id: 116 | term: "Hawaiʻi Teacher Standards Board" | text: "Any members voting no?"
score: 0.155686 | segment id: 126 | term: "Hawaiʻi Teacher Standards Board" | text: "Any members voting no?"
score: 0.155660 | segment id: 52 | term: "west oahu" | text: "Yes."
score: 0.155452 | segment id: 21 | term: "Aloha Stadium" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.155322 | segment id: 1 | term: "487n" | text: "It's 1.25 PM."
score: 0.155278 | segment id: 15 | term: "State Departments" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.155205 | segment id: 120 | term: "Board of Regents" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.155188 | segment id: 121 | term: "Aloha Stadium" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.155180 | segment id: 0 | term: "university" | text: "Good afternoon."
score: 0.155180 | segment id: 12 | term: "university" | text: "Good afternoon."
score: 0.155168 | segment id: 35 | term: "304a" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.155152 | segment id: 52 | term: "university" | text: "Yes."
score: 0.155145 | segment id: 35 | term: "College" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.155131 | segment id: 54 | term: "302a-431" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.155010 | segment id: 98 | term: "Red Hill" | text: "Chair votes aye."
score: 0.155010 | segment id: 100 | term: "Red Hill" | text: "Chair votes aye."
score: 0.155010 | segment id: 112 | term: "Red Hill" | text: "Chair votes aye."
score: 0.155010 | segment id: 114 | term: "Red Hill" | text: "Chair votes aye."
score: 0.155010 | segment id: 122 | term: "Red Hill" | text: "Chair votes aye."
score: 0.155010 | segment id: 124 | term: "Red Hill" | text: "Chair votes aye."
score: 0.154921 | segment id: 111 | term: "Early Learning Board" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
